source,target,from_currency,to_currency,rate_date,rate,TYPE,target_ref_id
Bloomberg,I2OC,HUF,USD,2023-08-27T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-27T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-27T00:00:00.000Z,0.003327,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-27T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-27T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-27T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-27T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-27T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-26T00:00:00.000Z,0.5513,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-26T00:00:00.000Z,10.7206,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-26T00:00:00.000Z,0.205,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-26T00:00:00.000Z,0.13717,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-26T00:00:00.000Z,0.044745,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-26T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-26T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-26T00:00:00.000Z,0.003327,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-26T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-26T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-26T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-26T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-26T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-25T00:00:00.000Z,0.5513,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-25T00:00:00.000Z,10.7206,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-25T00:00:00.000Z,0.205,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-25T00:00:00.000Z,0.13717,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-25T00:00:00.000Z,0.044745,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-25T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-25T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-25T00:00:00.000Z,0.0033274,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-25T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-25T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-25T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-25T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-25T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-24T00:00:00.000Z,0.5536,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-24T00:00:00.000Z,10.6895,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-24T00:00:00.000Z,0.2049,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-24T00:00:00.000Z,0.13738,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-24T00:00:00.000Z,0.044812,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-24T00:00:00.000Z,0.00282,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-24T00:00:00.000Z,0.012111,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-24T00:00:00.000Z,0.0033304,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-24T00:00:00.000Z,0.2418,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-24T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-24T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-24T00:00:00.000Z,0.0286,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-24T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-23T00:00:00.000Z,0.5553,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-23T00:00:00.000Z,10.6088,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-23T00:00:00.000Z,0.2049,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-23T00:00:00.000Z,0.13739,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-23T00:00:00.000Z,0.045088,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-23T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-23T00:00:00.000Z,0.012089,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-23T00:00:00.000Z,0.0033387,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-23T00:00:00.000Z,0.2433,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-23T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-23T00:00:00.000Z,0.739,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-23T00:00:00.000Z,0.028612,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-23T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-22T00:00:00.000Z,0.5545,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-22T00:00:00.000Z,10.6327,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-22T00:00:00.000Z,0.2025,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-22T00:00:00.000Z,0.13709,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-22T00:00:00.000Z,0.045027,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-22T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-22T00:00:00.000Z,0.012051,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-22T00:00:00.000Z,0.0033429,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-22T00:00:00.000Z,0.2428,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-22T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-22T00:00:00.000Z,0.7365,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-22T00:00:00.000Z,0.028571,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-22T00:00:00.000Z,0.0272,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-21T00:00:00.000Z,0.5567,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-21T00:00:00.000Z,10.6299,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-21T00:00:00.000Z,0.2004,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-21T00:00:00.000Z,0.13722,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-21T00:00:00.000Z,0.045318,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-21T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-21T00:00:00.000Z,0.012028,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-21T00:00:00.000Z,0.003365,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-21T00:00:00.000Z,0.243,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-21T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-21T00:00:00.000Z,0.7361,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-21T00:00:00.000Z,0.028362,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-21T00:00:00.000Z,0.0271,FIX,F120
