source,target,from_currency,to_currency,rate_date,rate,TYPE,target_ref_id
Bloomberg,I2OC,BDT,USD,2023-08-31T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-30T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-29T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-28T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-27T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-26T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-25T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-24T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-23T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-22T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-21T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-20T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-19T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-18T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-17T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-16T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-15T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-14T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-13T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-12T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-11T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-10T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-09T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-08T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-07T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-06T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-05T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-04T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-03T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-02T00:00:00.000Z,0.0092,DAILY,CMPL
Bloomberg,I2OC,BDT,USD,2023-08-01T00:00:00.000Z,0.0092,DAILY,CMPL
